listing_id,url,title,district,direction,ضمن_الـ11_حي_التجريبية,price,area_sqm,rooms,bathrooms,livings,age_years,price_per_sqm,rent_low,rent_mid,rent_high,yield_low_pct,yield_mid_pct,yield_high_pct,strengths,risks,verdict_yield,verdict_yield_reason,ad_price_per_sqm,comparable_deals_count,comparable_median_price_per_sqm,ratio,verdict_price,verdict_price_reason,description,is_multi_unit,unit_label,llm_corrections,llm_notes
6799233,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-طيبة/شارع-العزيزيه-حي-طيبة-مدينة-الرياض-منطقة-الرياض-6799233,"شقة للبيع في شارع العزيزيه, حي طيبة, مدينة الرياض, منطقة الرياض",حي طيبة,جنوب الرياض,True,310000.0,201.0,2.0,2.0,1.0,0.0,1542.0,40200,40200,40200,12.97,12.97,12.97,عقار جديد,,🟢 Proceed,العائد من الإيجار وحده 13.0%,1542.0,729.0,3136.0,0.49,🔴 REVIEW,سعر المتر أرخص بشكل غير طبيعي (49% من صفقات مشابهة) -- تحقق من المساحة والصك قبل أي التزام,"السلام عليكم ورحمة الله وبركاته
اسعد الله اوقاتكم بكل خير
​للبيع شقه دور ثالث مع السطح
بحي طيبه جنوب الرياض

شغل ممتاز وموقع ممتاز ويوجد جميع الضمانات على الكود السعودي الجديد .
​⭐⭐الوصف
مدخل وصاله وغرفتين نوم ومطبخ و٢ حمام مع السطح 

⭐⭐لدينا حلول تمويله سهله وميسره للمدنيين والعسكريين والمتقاعدين .
⭐⭐لدينا مناديب في جميع البنوك والشركات الخاصة والحكومية .
⭐⭐لدينا عروض مختلفة بأسعار مختلفة في جميع أنحاء غرب وجنوب الرياض .
⭐⭐لدينا ضمانات على السباكه والكهرباء والعوازل والعيوب الخفيه والهيكل الانشائ .
⭐⭐المشروع علي الكود السعودي الجديد .
كود ٧",False,شقة دور ثالث مع السطح - حي طيبة جنوب الرياض,"{""rooms"": 2}",الوصف يذكر غرفتي نوم فقط، لكن البيانات المسجلة تشير إلى 3 غرف. الوصف لم يحدد المساحة الكلية صراحة.
6799207,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-طيبة/حي-طيبة-مدينة-الرياض-منطقة-الرياض-6799207,"شقة للبيع في حي طيبة, مدينة الرياض, منطقة الرياض",حي طيبة,جنوب الرياض,True,320000.0,201.0,3.0,1.0,0.0,0.0,1592.0,40200,40200,40200,12.56,12.56,12.56,,,🟢 Proceed,العائد من الإيجار وحده 12.6%,1592.0,729.0,3136.0,0.51,🔴 REVIEW,سعر المتر أرخص بشكل غير طبيعي (51% من صفقات مشابهة) -- تحقق من المساحة والصك قبل أي التزام,"مشروع 9
السلام عليكم ورحمة الله وبركاته 
فرصة العمر لا تتكرر
بتدور على الاناقه في التصميم واستغلال المساحات
بتدور على توفير المال والمصداقيه في التعامل
ابشر باللي يطيب خاطرك
نقدم لكم شقه  فاخره
في حي:  طيبه العزيزية 
السعر: 320 الف 
وجهه: جنوبي 
عرض الشارع : 15م 
نوفر سداد المديونيات والدفعه الأولى 10٪ مجانًا وبدون أي فوائد
نختصر عليك الوقت ولذالك نتعامل َع جميع البنوك والشركات التمويليه العقاريه مع إمكانية التحويل من بنك لبنك اخر وتسهيل كل الأمور
مع عليك اللي ان نتواصل معنا واتس أو اتصال
(مشروع 9)",False,شقة فاخرة - حي طيبة العزيزية,{},الوجهة جنوبية، عرض الشارع 15م، يتم تقديم تمويل عقاري وتسديد مديونيات
6799223,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-طيبة/شارع-العزيزيه-حي-طيبة-مدينة-الرياض-منطقة-الرياض-6799223,"شقة للبيع في شارع العزيزيه, حي طيبة, مدينة الرياض, منطقة الرياض",حي طيبة,جنوب الرياض,True,320000.0,201.0,2.0,1.0,0.0,0.0,1592.0,40200,40200,40200,12.56,12.56,12.56,عقار جديد,,🟢 Proceed,العائد من الإيجار وحده 12.6%,1592.0,729.0,3136.0,0.51,🔴 REVIEW,سعر المتر أرخص بشكل غير طبيعي (51% من صفقات مشابهة) -- تحقق من المساحة والصك قبل أي التزام,"السلام عليكم ورحمة الله وبركاته
اسعد الله اوقاتكم بكل خير
​للبيع شقه 
بحي طيبه جنوب الرياض

شغل ممتاز وموقع ممتاز ويوجد جميع الضمانات على الكود السعودي الجديد .
​⭐⭐الوصف
مدخل  صاله مطبخ وعدد ٢ غرف نوم والسطح   .

⭐⭐لدينا حلول تمويله سهله وميسره للمدنيين والعسكريين والمتقاعدين .
⭐⭐لدينا مناديب في جميع البنوك والشركات الخاصة والحكومية .
⭐⭐لدينا عروض مختلفة بأسعار مختلفة في جميع أنحاء غرب وجنوب الرياض .
⭐⭐لدينا ضمانات على السباكه والكهرباء والعوازل والعيوب الخفيه والهيكل الانشائ .
⭐⭐المشروع علي الكود السعودي الجديد .
كود ٧",False,شقة في حي طيبة جنوب الرياض,"{""bathrooms"": 1}",الوصف يذكر غرفتي نوم فقط، بينما البيانات المسجلة تظهر 3 غرف. الحمامات لم تُذكر صراحة في الوصف (البيانات تشير 2). يوجد سطح إضافي.
6774511,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-طيبة/شارع-العزيزيه-حي-طيبة-مدينة-الرياض-منطقة-الرياض-6774511,"شقة للبيع في شارع العزيزيه, حي طيبة, مدينة الرياض, منطقة الرياض",حي طيبة,جنوب الرياض,True,370000.0,206.0,2.0,3.0,2.0,0.0,1796.0,41200,41200,41200,11.14,11.14,11.14,عقار جديد,,🟢 Proceed,العائد من الإيجار وحده 11.1%,1796.0,730.0,3113.0,0.58,🔴 REVIEW,سعر المتر أرخص بشكل غير طبيعي (58% من صفقات مشابهة) -- تحقق من المساحة والصك قبل أي التزام,"السلام عليكم ورحمة الله وبركاته
اسعد الله اوقاتكم بكل خير
للبيع شقه 370 الف 
بحي طيبه جنوب الرياض

شغل ممتاز وموقع ممتاز ويوجد جميع الضمانات على الكود السعودي الجديد .
يوجود اسعار ومساحات ممتازه 
​⭐⭐الوصف
مجلس صاله غرفتين نوم ومطبخ مع السطح 
وهناك شقق ٣ غرف نوم 
⭐⭐لدينا حلول تمويله سهله وميسره للمدنيين والعسكريين والمتقاعدين .
⭐⭐لدينا مناديب في جميع البنوك والشركات الخاصة والحكومية .
⭐⭐لدينا عروض مختلفة بأسعار مختلفة في جميع أنحاء غرب وجنوب الرياض .
⭐⭐لدينا ضمانات على السباكه والكهرباء والعوازل والعيوب الخفيه والهيكل الانشائ .
⭐⭐المشروع علي الكود السعودي الجديد .
كود 7",True,شقة 2 غرفة نوم - مجلس وصالة ومطبخ مع السطح,{},الإعلان يعرض مشروعًا به وحدات متعددة بمساحات وأسعار مختلفة. البيانات المسجلة (206 م² - 3 غرف - 370 ألف ريال) تطابق أحد النماذج المعروضة.
6774511,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-طيبة/شارع-العزيزيه-حي-طيبة-مدينة-الرياض-منطقة-الرياض-6774511,"شقة للبيع في شارع العزيزيه, حي طيبة, مدينة الرياض, منطقة الرياض",حي طيبة,جنوب الرياض,True,370000.0,206.0,3.0,3.0,2.0,0.0,1796.0,41200,41200,41200,11.14,11.14,11.14,عقار جديد,,🟢 Proceed,العائد من الإيجار وحده 11.1%,1796.0,730.0,3113.0,0.58,🔴 REVIEW,سعر المتر أرخص بشكل غير طبيعي (58% من صفقات مشابهة) -- تحقق من المساحة والصك قبل أي التزام,"السلام عليكم ورحمة الله وبركاته
اسعد الله اوقاتكم بكل خير
للبيع شقه 370 الف 
بحي طيبه جنوب الرياض

شغل ممتاز وموقع ممتاز ويوجد جميع الضمانات على الكود السعودي الجديد .
يوجود اسعار ومساحات ممتازه 
​⭐⭐الوصف
مجلس صاله غرفتين نوم ومطبخ مع السطح 
وهناك شقق ٣ غرف نوم 
⭐⭐لدينا حلول تمويله سهله وميسره للمدنيين والعسكريين والمتقاعدين .
⭐⭐لدينا مناديب في جميع البنوك والشركات الخاصة والحكومية .
⭐⭐لدينا عروض مختلفة بأسعار مختلفة في جميع أنحاء غرب وجنوب الرياض .
⭐⭐لدينا ضمانات على السباكه والكهرباء والعوازل والعيوب الخفيه والهيكل الانشائ .
⭐⭐المشروع علي الكود السعودي الجديد .
كود 7",True,شقة 3 غرف نوم,{},الإعلان يعرض مشروعًا به وحدات متعددة بمساحات وأسعار مختلفة. البيانات المسجلة (206 م² - 3 غرف - 370 ألف ريال) تطابق أحد النماذج المعروضة.
6748337,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-طيبة/شارع-النسور-حي-طيبة-مدينة-الرياض-منطقة-الرياض-6748337,"شقة للبيع في شارع النسور, حي طيبة, مدينة الرياض, منطقة الرياض",حي طيبة,جنوب الرياض,True,380000.0,201.0,4.0,4.0,1.0,0.0,1891.0,40200,40200,40200,10.58,10.58,10.58,تشطيبات حديثة مذكورة,,🟢 Proceed,العائد من الإيجار وحده 10.6%,1891.0,729.0,3136.0,0.6,🟢 سعر عادل,سعر المتر ضمن نطاق صفقات مشابهة (60%),"🟥⬛️🟦🟧🟩🟪🟫🟨🟥🟦🟧🟩 السلام عليكم ورحمة الله وبركاته. اسعد الله اوقاتكم بكل خير عملائنا الكرام ٠ 
فرصه العمر لن تتكرر 🎊🎉
 بتدوور علي الأناقة في التصميم واستغلال المساحات 💯
 بتدور على توفير المال والمصداقية في التعامل
 ابشر باللي يطيب خاطرك 💯
 نقدم لكم شقة فاخره: 
في حي  : طيبة 
 مساحة  : 201م
 السعر    : 380 الف
 واجهة    : شرقيه 
 الشارع  : 20 م 
 تشطيب سوبر سوبر لوكس
 نوفر تسديد المديونيات والدفعه الاولي 10% مجاناااااااا وبدون أي فوائد 👍👍
 نختصر عليك الوقت ولذلك نتعامل مع جميع البنوك والشركات التمويليه العقاريه مع إمكانية التحويل من بنك الي بنك اخر وتسهيل كل الامور 👍
 من الاخر هات فرشك واحنا نسلمك المفتاح👍
 مش عليك إلا ان تتواصل معنا واتس اب او اتصال. مشروع ((6 ))",False,شقة فاخرة في حي طيبة,{},الوصف لا يذكر عدد الغرف أو الحمامات بشكل صريح. واجهة شرقية، شارع 20م، تشطيب سوبر لوكس
6749205,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-طيبة/شارع-العزيزيه-حي-طيبة-مدينة-الرياض-منطقة-الرياض-6749205,"شقة للبيع في شارع العزيزيه, حي طيبة, مدينة الرياض, منطقة الرياض",حي طيبة,جنوب الرياض,True,370000.0,194.0,3.0,1.0,0.0,0.0,1907.0,38800,38800,38800,10.49,10.49,10.49,يوجد مصعد,,🟢 Proceed,العائد من الإيجار وحده 10.5%,1907.0,744.0,3166.0,0.6,🟢 سعر عادل,سعر المتر ضمن نطاق صفقات مشابهة (60%),"مشروع 9
السلام عليكم ورحمة الله وبركاته 
فرصة العمر لا تتكرر
بتدور على الاناقه في التصميم واستغلال المساحات
بتدور على توفير المال والمصداقيه في التعامل
ابشر باللي يطيب خاطرك
نقدم لكم مشروع أدوار كل دور بصك وشقق فاخره
في حي: طيبه العزيزية 
السعر: 380  الف راكب لها مصعد 
370 الف مؤسس مصعد
وجهه: شرقيه 
عرض الشارع : 20م
نوفر سداد المديونيات والدفعه الأولى 10٪ مجانًا وبدون أي فوائد
نختصر عليك الوقت ولذالك نتعامل َع جميع البنوك والشركات التمويليه العقاريه مع إمكانية التحويل من بنك لبنك اخر وتسهيل كل الأمور
مع عليك اللي ان نتواصل معنا واتس أو اتصال
(مشروع 9)",False,شقة فاخرة - مشروع 9,{},الإعلان يذكر سعرين: 380 ألف (مع مصعد) و 370 ألف (مؤسس مصعد). السعر المسجل 370000 يطابق السعر الأساسي. الوصف لا يحدد المساحة والغرف والحمامات صراحة.
6692936,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الصفا/حي-الصفاء-مدينة-الرياض-منطقة-الرياض-6692936,"شقة للبيع في حي الصفاء, مدينة الرياض, منطقة الرياض",حي الصفا,شرق الرياض,True,790000.0,290.25,4.0,3.0,1.0,0.0,2842.0,85043,85043,85043,10.31,10.31,10.31,يوجد مصعد | يوجد موقف سيارة | قريب من محطة مترو | عقار جديد,,🟢 Proceed,العائد من الإيجار وحده 10.3%,,,,,,,"✴️شقة مع سطح خاص للبيع – مشروع الصفاء 181 ✴️

📍 الموقع: حي الصفاء–شارع محمد بن الهيثم
📅 العمر: جديد
📐 المساحة: 290.25 م²
🏗️ مسطح البناء: 166.54 م²

📎 مرفق فديو في الإعلان

🏡 المرافق 🏡
🚗 موقف سيارة خاص
🛋️ غرفة طعام+دورة مياه
🖼️ صالة+مطبخ+دورة مياه
🛏️ غرفة نوم ماستر بدورة مياه خاصة+مساحة خزائن
🛏️ غرفة نوم
🏢 سطح خاص
🌿حدائق
🛗مصعد

💡مميزات الموقع والمشروع💡
🚇 قريب من محطة المترو، مجمع رعاية الطبي، و مستشفى قوى الأمن
⚡ عداد كهرباء ومياه مستقل
🎥 أنظمة أمنية (كاميرات + دخول ذكي)
🏫 مدارس أهلية وحكومية قريبة
🛣️ قريب من مخرج 15 وطريق خريص
🛍️ مستشفى، مدارس، نوادي، كافيهات
🌄 إطلالة مفتوحة بدون أبراج قريبة
🧭 سهولة الوصول من عدة طرق رئيسية

✴️ Apartment with Private Rooftop for Sale –Safa 181 Project ✴️
📍Location:Al-Safa Area– Mohammed bin Al-Haytham Street
📅Brand New
📐Land Area:290.25m²
🏗️Built-up Area:166.54m²

📎A video is attached in the ad

📝Property Description

🏡Facilities
🚗Private Parking
🚽Dining Room+Guest Bathroom
🖼️Living Room+Kitchen
🛏️Master Bedroom with Private Bathroom
🛏️Additional Bedroom+Bathroom
🌿Gardens
🏢RoofTop
🛗 Elevator

💵 السعر/ Price 💵
790,000 ريال
سبع مائة وتسعون الف ريال
🌐 مساكن ركاز للعقارات وإدارة الأملاك-Msakin Rikaz Real Estate 🌐

📞أبو حمود: 0508080959 - English
📞أبو عمر: 0539559998 
📞أبو أحمد: 0501133379
📞أبو ابوراشد: 0581516171 
📞أبو سعود: 0573704030
💬واتساب مباشر: 0506656563",False,شقة مع سطح خاص - مشروع الصفاء 181,{},اختلاف السعر: مسجل 825000 ريال لكن الوصف يذكر 790000 ريال. مسطح البناء المذكور 166.54 م² مختلف عن المساحة الكلية 290.25 م² (تشمل السطح والحديقة).
6753503,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-طيبة/شارع-الحارث-بن-زهرة-حي-طيبة-مدينة-الرياض-منطقة-الرياض-6753503,"شقة للبيع في شارع الحارث بن زهرة, حي طيبة, مدينة الرياض, منطقة الرياض",حي طيبة,جنوب الرياض,True,670000.0,275.0,4.0,0.0,0.0,0.0,2000.0,55000,55000,55000,10.0,10.0,10.0,,,🟢 Proceed,العائد من الإيجار وحده 10.0%,2000.0,778.0,2268.0,0.88,🟢 سعر عادل,سعر المتر ضمن نطاق صفقات مشابهة (88%),"🏡 أسعار مخفضة لفترة محدودة

✨ دور أرضي تاون هاوس مؤثث بالكامل
✔️ مطبخ متكامل مع جميع الأجهزة الكهربائية
✔️ ثلاجات + ميكروويف + فرن
✔️ 4 غرف نوم مجهزة
✔️ صالات واسعة ومجالس أنيقة

💰 السعر: 670,000 ريال فقط

كما تتوفر:

🏠 أدوار علوية مع ملحق
💰 ابتداءً من 550,000 ريال

🏠 دور أرضي تاون هاوس
💰 ابتداءً من 550,000 ريال

📐 المساحات من 260م² إلى 290م²

🥇 فرصة ذهبية للتملك بأسعار استثنائية",True,دور أرضي تاون هاوس مؤثث,{},إعلان متعدد الوحدات بنماذج مختلفة. المساحات المذكورة (260-290 م²) تنطبق على جميع الوحدات. عدد الحمامات غير مذكور في الوصف.
6753503,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-طيبة/شارع-الحارث-بن-زهرة-حي-طيبة-مدينة-الرياض-منطقة-الرياض-6753503,"شقة للبيع في شارع الحارث بن زهرة, حي طيبة, مدينة الرياض, منطقة الرياض",حي طيبة,جنوب الرياض,True,550000.0,275.0,4.0,0.0,0.0,0.0,2000.0,55000,55000,55000,10.0,10.0,10.0,,,🟢 Proceed,العائد من الإيجار وحده 10.0%,2000.0,778.0,2268.0,0.88,🟢 سعر عادل,سعر المتر ضمن نطاق صفقات مشابهة (88%),"🏡 أسعار مخفضة لفترة محدودة

✨ دور أرضي تاون هاوس مؤثث بالكامل
✔️ مطبخ متكامل مع جميع الأجهزة الكهربائية
✔️ ثلاجات + ميكروويف + فرن
✔️ 4 غرف نوم مجهزة
✔️ صالات واسعة ومجالس أنيقة

💰 السعر: 670,000 ريال فقط

كما تتوفر:

🏠 أدوار علوية مع ملحق
💰 ابتداءً من 550,000 ريال

🏠 دور أرضي تاون هاوس
💰 ابتداءً من 550,000 ريال

📐 المساحات من 260م² إلى 290م²

🥇 فرصة ذهبية للتملك بأسعار استثنائية",True,أدوار علوية مع ملحق,{},إعلان متعدد الوحدات بنماذج مختلفة. المساحات المذكورة (260-290 م²) تنطبق على جميع الوحدات. عدد الحمامات غير مذكور في الوصف.
